prova,local,link,data
CIRCUITO BRISAS 2018,"ITAJAÍ, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/117;,2018-JUN-24
MEIA MARATONA CAIXA DE BLUMENAU,"BLUMENAU, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/118;,2018-JUL-15
POWERMAN BRASIL DUATHLON,"INDAIATUBA, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/335;,2018-AGO-19
CIRCUITO PELO VERDE - ETAPA 4,"ILHA SOLTEIRA, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/331;,2018-AGO-05
2ª DUATHLON ROTARY CLUB CIANORTE CINTURÃO VERDE,"CIANORTE, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/257;,2018-ABR-08
ECOVILLAS AQUA RUN,"SERTANÓPOLIS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/358;,2018-SET-02
CIRCUITO RIO ANTIGO - ETAPA CINELÂNDIA 2018,"Rio de Janeiro, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/366;,2018-SET-16
CIRCUITO PELO VERDE - TRÊS LAGOAS,"TRÊS LAGOAS, MS",https://www.chronomax.com.br/index.php/Maxraceresults/dados/353;,2018-SET-30
2ª EMPIRE NIGHT RUN,"FRANCISCO BELTRÃO, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/405;,2018-OUT-20
CAMINHADA E CORRIDA 5KM BRF - CAMPOS NOVOS,"CAMPOS NOVOS, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/348;,2018-NOV-11
SICREDI BALNEARIO NIGHT RUN,"BALNEARIO CAMBORIU, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/398;,2018-NOV-03
